t,i
0,-0
1e-07,-0
2e-07,0.002
3e-07,0.003998
4e-07,0.00199399
5e-07,-8.02398e-06
6e-07,-0.00200805
7e-07,-0.00400607
8e-07,-0.00600209
9e-07,-0.0079961
1e-06,-0.00998808
1.1e-06,-0.011978
1.2e-06,-0.013966
1.3e-06,-0.0159519
1.4e-06,-0.0179357
1.5e-06,-0.0199175
1.6e-06,-0.0218973
1.7e-06,-0.023875
1.8e-06,-0.0258506
1.9e-06,-0.0278242
2e-06,-0.0297957
2.1e-06,-0.0317651
2.2e-06,-0.0337324
2.3e-06,-0.0356976
2.4e-06,-0.0376607
2.5e-06,-0.0396217
2.6e-06,-0.0415806
2.7e-06,-0.0435374
2.8e-06,-0.0454921
2.9e-06,-0.0474446
3e-06,-0.049395
3.1e-06,-0.0513433
3.2e-06,-0.0532894
3.3e-06,-0.0552333
3.4e-06,-0.0571751
3.5e-06,-0.0591148
3.6e-06,-0.0610523
3.7e-06,-0.0629876
3.8e-06,-0.0649207
3.9e-06,-0.0668516
4e-06,-0.0687804
4.1e-06,-0.0707069
4.2e-06,-0.0726313
4.3e-06,-0.0745534
4.4e-06,-0.0764734
4.5e-06,-0.0783911
4.6e-06,-0.0803066
4.7e-06,-0.0822198
4.8e-06,-0.0841309
4.9e-06,-0.0860397
5e-06,-0.0879462
5.1e-06,-0.0898505
5.2e-06,-0.0917526
5.3e-06,-0.0936524
5.4e-06,-0.0955499
5.5e-06,-0.0974451
5.6e-06,-0.0993381
5.7e-06,-0.101229
5.8e-06,-0.103117
5.9e-06,-0.105003
6e-06,-0.106887
6.1e-06,-0.108769
6.2e-06,-0.110648
6.3e-06,-0.112525
6.4e-06,-0.114399
6.5e-06,-0.116272
6.6e-06,-0.118142
6.7e-06,-0.120009
6.8e-06,-0.121874
6.9e-06,-0.123737
7e-06,-0.125598
7.1e-06,-0.127456
7.2e-06,-0.129312
7.3e-06,-0.131166
7.4e-06,-0.133017
7.5e-06,-0.134865
7.6e-06,-0.136712
7.7e-06,-0.138556
7.8e-06,-0.140397
7.9e-06,-0.142237
8e-06,-0.144074
8.1e-06,-0.145908
8.2e-06,-0.14774
8.3e-06,-0.14957
8.4e-06,-0.151397
8.5e-06,-0.153222
8.6e-06,-0.155044
8.7e-06,-0.156864
8.8e-06,-0.158681
8.9e-06,-0.160496
9e-06,-0.162309
9.1e-06,-0.164119
9.2e-06,-0.165927
9.3e-06,-0.167732
9.4e-06,-0.169535
9.5e-06,-0.171335
9.6e-06,-0.173133
9.7e-06,-0.174928
9.8e-06,-0.176721
9.9e-06,-0.178512
1e-05,-0.1803
1.01e-05,-0.182085
1.02e-05,-0.183868
1.03e-05,-0.185648
1.04e-05,-0.187426
1.05e-05,-0.189201
1.06e-05,-0.190974
1.07e-05,-0.192745
1.08e-05,-0.194512
1.09e-05,-0.196278
1.1e-05,-0.198041
1.11e-05,-0.199801
1.12e-05,-0.201558
1.13e-05,-0.203313
1.14e-05,-0.205066
1.15e-05,-0.206816
1.16e-05,-0.208564
1.17e-05,-0.210308
1.18e-05,-0.212051
1.19e-05,-0.21379
1.2e-05,-0.215528
1.21e-05,-0.217262
1.22e-05,-0.218994
1.23e-05,-0.220724
1.24e-05,-0.22245
1.25e-05,-0.224175
1.26e-05,-0.225896
1.27e-05,-0.227615
1.28e-05,-0.229331
1.29e-05,-0.231045
1.3e-05,-0.232756
1.31e-05,-0.234465
1.32e-05,-0.236171
1.33e-05,-0.237874
1.34e-05,-0.239575
1.35e-05,-0.241273
1.36e-05,-0.242968
1.37e-05,-0.244661
1.38e-05,-0.246351
1.39e-05,-0.248038
1.4e-05,-0.249723
1.41e-05,-0.251405
1.42e-05,-0.253084
1.43e-05,-0.254761
1.44e-05,-0.256435
1.45e-05,-0.258106
1.46e-05,-0.259775
1.47e-05,-0.261441
1.48e-05,-0.263104
1.49e-05,-0.264765
1.5e-05,-0.266423
1.51e-05,-0.268078
1.52e-05,-0.269731
1.53e-05,-0.271381
1.54e-05,-0.273028
1.55e-05,-0.274672
1.56e-05,-0.276314
1.57e-05,-0.277953
1.58e-05,-0.279589
1.59e-05,-0.281222
1.6e-05,-0.282853
1.61e-05,-0.284481
1.62e-05,-0.286106
1.63e-05,-0.287729
1.64e-05,-0.289349
1.65e-05,-0.290966
1.66e-05,-0.29258
1.67e-05,-0.294191
1.68e-05,-0.2958
1.69e-05,-0.297406
1.7e-05,-0.299009
1.71e-05,-0.30061
1.72e-05,-0.302207
1.73e-05,-0.303802
1.74e-05,-0.305394
1.75e-05,-0.306984
1.76e-05,-0.30857
1.77e-05,-0.310154
1.78e-05,-0.311735
1.79e-05,-0.313313
1.8e-05,-0.314888
1.81e-05,-0.316461
1.82e-05,-0.31803
1.83e-05,-0.319597
1.84e-05,-0.321161
1.85e-05,-0.322723
1.86e-05,-0.324281
1.87e-05,-0.325837
1.88e-05,-0.327389
1.89e-05,-0.328939
1.9e-05,-0.330486
1.91e-05,-0.332031
1.92e-05,-0.333572
1.93e-05,-0.335111
1.94e-05,-0.336646
1.95e-05,-0.338179
1.96e-05,-0.339709
1.97e-05,-0.341237
1.98e-05,-0.342761
1.99e-05,-0.344282
2e-05,-0.345801
2.01e-05,-0.347317
2.02e-05,-0.348829
2.03e-05,-0.350339
2.04e-05,-0.351847
2.05e-05,-0.353351
2.06e-05,-0.354852
2.07e-05,-0.356351
2.08e-05,-0.357846
2.09e-05,-0.359339
2.1e-05,-0.360829
2.11e-05,-0.362315
2.12e-05,-0.363799
2.13e-05,-0.365281
2.14e-05,-0.366759
2.15e-05,-0.368234
2.16e-05,-0.369706
2.17e-05,-0.371176
2.18e-05,-0.372642
2.19e-05,-0.374106
2.2e-05,-0.375567
2.21e-05,-0.377024
2.22e-05,-0.378479
2.23e-05,-0.379931
2.24e-05,-0.38138
2.25e-05,-0.382826
2.26e-05,-0.384269
2.27e-05,-0.385709
2.28e-05,-0.387147
2.29e-05,-0.388581
2.3e-05,-0.390012
2.31e-05,-0.391441
2.32e-05,-0.392866
2.33e-05,-0.394288
2.34e-05,-0.395708
2.35e-05,-0.397125
2.36e-05,-0.398538
2.37e-05,-0.399949
2.38e-05,-0.401356
2.39e-05,-0.402761
2.4e-05,-0.404163
2.41e-05,-0.405562
2.42e-05,-0.406957
2.43e-05,-0.40835
2.44e-05,-0.40974
2.45e-05,-0.411127
2.46e-05,-0.412511
2.47e-05,-0.413892
2.48e-05,-0.415269
2.49e-05,-0.416644
2.5e-05,-0.418016
2.51e-05,-0.419385
2.52e-05,-0.420751
2.53e-05,-0.422114
2.54e-05,-0.423474
2.55e-05,-0.424831
2.56e-05,-0.426184
2.57e-05,-0.427535
2.58e-05,-0.428883
2.59e-05,-0.430228
2.6e-05,-0.43157
2.61e-05,-0.432909
2.62e-05,-0.434244
2.63e-05,-0.435577
2.64e-05,-0.436907
2.65e-05,-0.438234
2.66e-05,-0.439557
2.67e-05,-0.440878
2.68e-05,-0.442196
2.69e-05,-0.44351
2.7e-05,-0.444822
2.71e-05,-0.44613
2.72e-05,-0.447436
2.73e-05,-0.448738
2.74e-05,-0.450038
2.75e-05,-0.451334
2.76e-05,-0.452627
2.77e-05,-0.453918
2.78e-05,-0.455205
2.79e-05,-0.456489
2.8e-05,-0.45777
2.81e-05,-0.459048
2.82e-05,-0.460323
2.83e-05,-0.461595
2.84e-05,-0.462864
2.85e-05,-0.46413
2.86e-05,-0.465393
2.87e-05,-0.466652
2.88e-05,-0.467909
2.89e-05,-0.469163
2.9e-05,-0.470413
2.91e-05,-0.471661
2.92e-05,-0.472905
2.93e-05,-0.474146
2.94e-05,-0.475384
2.95e-05,-0.47662
2.96e-05,-0.477852
2.97e-05,-0.479081
2.98e-05,-0.480306
2.99e-05,-0.481529
3e-05,-0.482749
3.01e-05,-0.483966
3.02e-05,-0.485179
3.03e-05,-0.48639
3.04e-05,-0.487597
3.05e-05,-0.488801
3.06e-05,-0.490002
3.07e-05,-0.4912
3.08e-05,-0.492395
3.09e-05,-0.493587
3.1e-05,-0.494776
3.11e-05,-0.495962
3.12e-05,-0.497144
3.13e-05,-0.498324
3.14e-05,-0.4995
3.15e-05,-0.500674
3.16e-05,-0.501844
3.17e-05,-0.503011
3.18e-05,-0.504175
3.19e-05,-0.505336
3.2e-05,-0.506493
3.21e-05,-0.507648
3.22e-05,-0.5088
3.23e-05,-0.509948
3.24e-05,-0.511093
3.25e-05,-0.512235
3.26e-05,-0.513375
3.27e-05,-0.51451
3.28e-05,-0.515643
3.29e-05,-0.516773
3.3e-05,-0.5179
3.31e-05,-0.519023
3.32e-05,-0.520143
3.33e-05,-0.521261
3.34e-05,-0.522375
3.35e-05,-0.523486
3.36e-05,-0.524593
3.37e-05,-0.525698
3.38e-05,-0.5268
3.39e-05,-0.527898
3.4e-05,-0.528993
3.41e-05,-0.530086
3.42e-05,-0.531175
3.43e-05,-0.532261
3.44e-05,-0.533343
3.45e-05,-0.534423
3.46e-05,-0.535499
3.47e-05,-0.536573
3.48e-05,-0.537643
3.49e-05,-0.53871
3.5e-05,-0.539774
3.51e-05,-0.540835
3.52e-05,-0.541893
3.53e-05,-0.542947
3.54e-05,-0.543999
3.55e-05,-0.545047
3.56e-05,-0.546092
3.57e-05,-0.547134
3.58e-05,-0.548173
3.59e-05,-0.549208
3.6e-05,-0.550241
3.61e-05,-0.55127
3.62e-05,-0.552297
3.63e-05,-0.55332
3.64e-05,-0.55434
3.65e-05,-0.555356
3.66e-05,-0.55637
3.67e-05,-0.557381
3.68e-05,-0.558388
3.69e-05,-0.559392
3.7e-05,-0.560393
3.71e-05,-0.561391
3.72e-05,-0.562386
3.73e-05,-0.563377
3.74e-05,-0.564366
3.75e-05,-0.565351
3.76e-05,-0.566333
3.77e-05,-0.567312
3.78e-05,-0.568288
3.79e-05,-0.569261
3.8e-05,-0.57023
3.81e-05,-0.571197
3.82e-05,-0.57216
3.83e-05,-0.57312
3.84e-05,-0.574077
3.85e-05,-0.575031
3.86e-05,-0.575981
3.87e-05,-0.576929
3.88e-05,-0.577873
3.89e-05,-0.578814
3.9e-05,-0.579752
3.91e-05,-0.580687
3.92e-05,-0.581619
3.93e-05,-0.582547
3.94e-05,-0.583473
3.95e-05,-0.584395
3.96e-05,-0.585314
3.97e-05,-0.58623
3.98e-05,-0.587142
3.99e-05,-0.588052
4e-05,-0.588958
4.01e-05,-0.589862
4.02e-05,-0.590762
4.03e-05,-0.591659
4.04e-05,-0.592552
4.05e-05,-0.593443
4.06e-05,-0.59433
4.07e-05,-0.595215
4.08e-05,-0.596096
4.09e-05,-0.596974
4.1e-05,-0.597849
4.11e-05,-0.59872
4.12e-05,-0.599589
4.13e-05,-0.600454
4.14e-05,-0.601316
4.15e-05,-0.602176
4.16e-05,-0.603031
4.17e-05,-0.603884
4.18e-05,-0.604734
4.19e-05,-0.60558
4.2e-05,-0.606423
4.21e-05,-0.607264
4.22e-05,-0.6081
4.23e-05,-0.608934
4.24e-05,-0.609765
4.25e-05,-0.610592
