t,v
0,0
1e-07,0
2e-07,0
3e-07,4e-06
4e-07,1.19952e-05
5e-07,1.59808e-05
6e-07,1.59615e-05
7e-07,1.19423e-05
8e-07,3.92772e-06
9e-07,-8.07724e-06
1e-06,-2.40678e-05
1.1e-06,-4.40392e-05
1.2e-06,-6.79865e-05
1.3e-06,-9.59048e-05
1.4e-06,-0.000127789
1.5e-06,-0.000163635
1.6e-06,-0.000203438
1.7e-06,-0.000247192
1.8e-06,-0.000294892
1.9e-06,-0.000346534
2e-06,-0.000402113
2.1e-06,-0.000461624
2.2e-06,-0.000525062
2.3e-06,-0.000592422
2.4e-06,-0.000663699
2.5e-06,-0.000738887
2.6e-06,-0.000817983
2.7e-06,-0.000900981
2.8e-06,-0.000987875
2.9e-06,-0.00107866
3e-06,-0.00117334
3.1e-06,-0.00127189
3.2e-06,-0.00137432
3.3e-06,-0.00148063
3.4e-06,-0.0015908
3.5e-06,-0.00170483
3.6e-06,-0.00182272
3.7e-06,-0.00194446
3.8e-06,-0.00207004
3.9e-06,-0.00219947
4e-06,-0.00233273
4.1e-06,-0.00246983
4.2e-06,-0.00261075
4.3e-06,-0.00275549
4.4e-06,-0.00290405
4.5e-06,-0.00305641
4.6e-06,-0.00321258
4.7e-06,-0.00337255
4.8e-06,-0.00353632
4.9e-06,-0.00370387
5e-06,-0.00387521
5.1e-06,-0.00405033
5.2e-06,-0.00422922
5.3e-06,-0.00441188
5.4e-06,-0.0045983
5.5e-06,-0.00478848
5.6e-06,-0.00498241
5.7e-06,-0.00518009
5.8e-06,-0.00538152
5.9e-06,-0.00558667
6e-06,-0.00579556
6.1e-06,-0.00600818
6.2e-06,-0.00622451
6.3e-06,-0.00644456
6.4e-06,-0.00666833
6.5e-06,-0.00689579
6.6e-06,-0.00712695
6.7e-06,-0.00736181
6.8e-06,-0.00760036
6.9e-06,-0.00784259
7e-06,-0.00808849
7.1e-06,-0.00833807
7.2e-06,-0.00859132
7.3e-06,-0.00884822
7.4e-06,-0.00910878
7.5e-06,-0.009373
7.6e-06,-0.00964085
7.7e-06,-0.00991235
7.8e-06,-0.0101875
7.9e-06,-0.0104662
8e-06,-0.0107486
8.1e-06,-0.0110346
8.2e-06,-0.0113242
8.3e-06,-0.0116174
8.4e-06,-0.0119143
8.5e-06,-0.0122147
8.6e-06,-0.0125187
8.7e-06,-0.0128262
8.8e-06,-0.0131374
8.9e-06,-0.0134521
9e-06,-0.0137704
9.1e-06,-0.0140923
9.2e-06,-0.0144177
9.3e-06,-0.0147467
9.4e-06,-0.0150792
9.5e-06,-0.0154153
9.6e-06,-0.0157549
9.7e-06,-0.016098
9.8e-06,-0.0164446
9.9e-06,-0.0167948
1e-05,-0.0171484
1.01e-05,-0.0175056
1.02e-05,-0.0178663
1.03e-05,-0.0182304
1.04e-05,-0.0185981
1.05e-05,-0.0189692
1.06e-05,-0.0193438
1.07e-05,-0.0197219
1.08e-05,-0.0201034
1.09e-05,-0.0204884
1.1e-05,-0.0208769
1.11e-05,-0.0212688
1.12e-05,-0.0216642
1.13e-05,-0.0220629
1.14e-05,-0.0224652
1.15e-05,-0.0228708
1.16e-05,-0.0232799
1.17e-05,-0.0236923
1.18e-05,-0.0241082
1.19e-05,-0.0245275
1.2e-05,-0.0249502
1.21e-05,-0.0253762
1.22e-05,-0.0258057
1.23e-05,-0.0262385
1.24e-05,-0.0266747
1.25e-05,-0.0271143
1.26e-05,-0.0275572
1.27e-05,-0.0280035
1.28e-05,-0.0284531
1.29e-05,-0.0289061
1.3e-05,-0.0293624
1.31e-05,-0.029822
1.32e-05,-0.030285
1.33e-05,-0.0307513
1.34e-05,-0.0312209
1.35e-05,-0.0316938
1.36e-05,-0.03217
1.37e-05,-0.0326495
1.38e-05,-0.0331323
1.39e-05,-0.0336184
1.4e-05,-0.0341077
1.41e-05,-0.0346003
1.42e-05,-0.0350962
1.43e-05,-0.0355954
1.44e-05,-0.0360978
1.45e-05,-0.0366034
1.46e-05,-0.0371123
1.47e-05,-0.0376244
1.48e-05,-0.0381398
1.49e-05,-0.0386584
1.5e-05,-0.0391802
1.51e-05,-0.0397052
1.52e-05,-0.0402334
1.53e-05,-0.0407648
1.54e-05,-0.0412994
1.55e-05,-0.0418372
1.56e-05,-0.0423782
1.57e-05,-0.0429223
1.58e-05,-0.0434697
1.59e-05,-0.0440202
1.6e-05,-0.0445738
1.61e-05,-0.0451306
1.62e-05,-0.0456905
1.63e-05,-0.0462536
1.64e-05,-0.0468198
1.65e-05,-0.0473891
1.66e-05,-0.0479616
1.67e-05,-0.0485372
1.68e-05,-0.0491158
1.69e-05,-0.0496976
1.7e-05,-0.0502825
1.71e-05,-0.0508704
1.72e-05,-0.0514615
1.73e-05,-0.0520556
1.74e-05,-0.0526528
1.75e-05,-0.0532531
1.76e-05,-0.0538564
1.77e-05,-0.0544627
1.78e-05,-0.0550722
1.79e-05,-0.0556846
1.8e-05,-0.0563001
1.81e-05,-0.0569186
1.82e-05,-0.0575402
1.83e-05,-0.0581647
1.84e-05,-0.0587923
1.85e-05,-0.0594228
1.86e-05,-0.0600564
1.87e-05,-0.0606929
1.88e-05,-0.0613325
1.89e-05,-0.061975
1.9e-05,-0.0626205
1.91e-05,-0.0632689
1.92e-05,-0.0639203
1.93e-05,-0.0645747
1.94e-05,-0.065232
1.95e-05,-0.0658922
1.96e-05,-0.0665554
1.97e-05,-0.0672215
1.98e-05,-0.0678906
1.99e-05,-0.0685625
2e-05,-0.0692374
2.01e-05,-0.0699151
2.02e-05,-0.0705958
2.03e-05,-0.0712793
2.04e-05,-0.0719657
2.05e-05,-0.072655
2.06e-05,-0.0733472
2.07e-05,-0.0740422
2.08e-05,-0.0747401
2.09e-05,-0.0754409
2.1e-05,-0.0761445
2.11e-05,-0.0768509
2.12e-05,-0.0775601
2.13e-05,-0.0782722
2.14e-05,-0.0789871
2.15e-05,-0.0797049
2.16e-05,-0.0804254
2.17e-05,-0.0811487
2.18e-05,-0.0818748
2.19e-05,-0.0826037
2.2e-05,-0.0833354
2.21e-05,-0.0840699
2.22e-05,-0.0848071
2.23e-05,-0.0855471
2.24e-05,-0.0862899
2.25e-05,-0.0870354
2.26e-05,-0.0877836
2.27e-05,-0.0885346
2.28e-05,-0.0892883
2.29e-05,-0.0900448
2.3e-05,-0.0908039
2.31e-05,-0.0915658
2.32e-05,-0.0923303
2.33e-05,-0.0930976
2.34e-05,-0.0938676
2.35e-05,-0.0946402
2.36e-05,-0.0954155
2.37e-05,-0.0961935
2.38e-05,-0.0969742
2.39e-05,-0.0977575
2.4e-05,-0.0985435
2.41e-05,-0.0993321
2.42e-05,-0.100123
2.43e-05,-0.100917
2.44e-05,-0.101714
2.45e-05,-0.102513
2.46e-05,-0.103315
2.47e-05,-0.104119
2.48e-05,-0.104926
2.49e-05,-0.105736
2.5e-05,-0.106548
2.51e-05,-0.107362
2.52e-05,-0.10818
2.53e-05,-0.109
2.54e-05,-0.109822
2.55e-05,-0.110647
2.56e-05,-0.111474
2.57e-05,-0.112305
2.58e-05,-0.113137
2.59e-05,-0.113972
2.6e-05,-0.11481
2.61e-05,-0.11565
2.62e-05,-0.116493
2.63e-05,-0.117338
2.64e-05,-0.118186
2.65e-05,-0.119036
2.66e-05,-0.119889
2.67e-05,-0.120744
2.68e-05,-0.121601
2.69e-05,-0.122461
2.7e-05,-0.123324
2.71e-05,-0.124189
2.72e-05,-0.125056
2.73e-05,-0.125926
2.74e-05,-0.126798
2.75e-05,-0.127673
2.76e-05,-0.12855
2.77e-05,-0.12943
2.78e-05,-0.130312
2.79e-05,-0.131196
2.8e-05,-0.132083
2.81e-05,-0.132972
2.82e-05,-0.133864
2.83e-05,-0.134757
2.84e-05,-0.135654
2.85e-05,-0.136552
2.86e-05,-0.137453
2.87e-05,-0.138356
2.88e-05,-0.139262
2.89e-05,-0.14017
2.9e-05,-0.14108
2.91e-05,-0.141993
2.92e-05,-0.142908
2.93e-05,-0.143825
2.94e-05,-0.144745
2.95e-05,-0.145666
2.96e-05,-0.146591
2.97e-05,-0.147517
2.98e-05,-0.148446
2.99e-05,-0.149377
3e-05,-0.15031
3.01e-05,-0.151245
3.02e-05,-0.152183
3.03e-05,-0.153123
3.04e-05,-0.154065
3.05e-05,-0.155009
3.06e-05,-0.155956
3.07e-05,-0.156905
3.08e-05,-0.157856
3.09e-05,-0.158809
3.1e-05,-0.159764
3.11e-05,-0.160722
3.12e-05,-0.161682
3.13e-05,-0.162644
3.14e-05,-0.163608
3.15e-05,-0.164574
3.16e-05,-0.165543
3.17e-05,-0.166513
3.18e-05,-0.167486
3.19e-05,-0.168461
3.2e-05,-0.169438
3.21e-05,-0.170417
3.22e-05,-0.171398
3.23e-05,-0.172381
3.24e-05,-0.173367
3.25e-05,-0.174354
3.26e-05,-0.175344
3.27e-05,-0.176335
3.28e-05,-0.177329
3.29e-05,-0.178325
3.3e-05,-0.179323
3.31e-05,-0.180323
3.32e-05,-0.181325
3.33e-05,-0.182329
3.34e-05,-0.183335
3.35e-05,-0.184343
3.36e-05,-0.185353
3.37e-05,-0.186365
3.38e-05,-0.187379
3.39e-05,-0.188395
3.4e-05,-0.189414
3.41e-05,-0.190434
3.42e-05,-0.191456
3.43e-05,-0.19248
3.44e-05,-0.193506
3.45e-05,-0.194534
3.46e-05,-0.195564
3.47e-05,-0.196596
3.48e-05,-0.19763
3.49e-05,-0.198665
3.5e-05,-0.199703
3.51e-05,-0.200743
3.52e-05,-0.201784
3.53e-05,-0.202828
3.54e-05,-0.203873
3.55e-05,-0.20492
3.56e-05,-0.205969
3.57e-05,-0.20702
3.58e-05,-0.208073
3.59e-05,-0.209128
3.6e-05,-0.210184
3.61e-05,-0.211243
3.62e-05,-0.212303
3.63e-05,-0.213365
3.64e-05,-0.214429
3.65e-05,-0.215495
3.66e-05,-0.216563
3.67e-05,-0.217632
3.68e-05,-0.218703
3.69e-05,-0.219776
3.7e-05,-0.220851
3.71e-05,-0.221928
3.72e-05,-0.223006
3.73e-05,-0.224086
3.74e-05,-0.225168
3.75e-05,-0.226252
3.76e-05,-0.227337
3.77e-05,-0.228425
3.78e-05,-0.229514
3.79e-05,-0.230604
3.8e-05,-0.231697
3.81e-05,-0.232791
3.82e-05,-0.233887
3.83e-05,-0.234984
3.84e-05,-0.236083
3.85e-05,-0.237184
3.86e-05,-0.238287
3.87e-05,-0.239391
3.88e-05,-0.240497
3.89e-05,-0.241605
3.9e-05,-0.242714
3.91e-05,-0.243825
3.92e-05,-0.244938
3.93e-05,-0.246052
3.94e-05,-0.247168
3.95e-05,-0.248285
3.96e-05,-0.249405
3.97e-05,-0.250525
3.98e-05,-0.251648
3.99e-05,-0.252772
4e-05,-0.253897
4.01e-05,-0.255024
4.02e-05,-0.256153
4.03e-05,-0.257283
4.04e-05,-0.258415
4.05e-05,-0.259549
4.06e-05,-0.260684
4.07e-05,-0.26182
4.08e-05,-0.262958
4.09e-05,-0.264098
4.1e-05,-0.265239
